model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
12,2016,21000,0,71626,3,0,85.6,2
8,2017,14700,1,38405,0,145,68.9,2
2,2018,19000,0,20681,0,145,64.2,2
2,2017,15400,0,20529,0,145,65.7,2
10,2016,19000,0,42691,0,145,54.3,2
0,2018,15000,0,10058,1,145,37.2,1.5
2,2016,17950,0,40337,0,145,53.3,3
4,2018,22600,0,23195,0,145,65.7,2
0,2017,13200,1,17117,1,145,53.3,1.5
2,2017,12750,1,22153,0,150,68.9,2
2,2015,9750,1,56038,0,20,68.9,2
2,2017,10900,0,78345,0,0,74.3,2
11,2016,21400,0,31084,0,145,54.3,2
0,2017,14600,0,5615,1,145,58.9,1.5
2,2017,12600,0,55751,1,150,51.4,1.5
11,2017,22500,0,35016,0,150,54.3,2
0,2016,8000,1,81579,0,0,83.1,1.5
8,2017,14800,1,31518,0,145,60.1,2
0,2016,9900,1,44008,0,0,83.1,1.5
1,2016,9500,1,59509,0,20,68.9,2
2,2017,17950,0,43703,3,140,134.5,2
0,2016,14200,0,36858,0,125,60.1,2
0,2016,12100,0,25786,0,0,74.3,2
0,2016,12700,0,24592,0,20,68.9,2
0,2016,8800,1,51002,0,0,83.1,1.5
0,2017,15000,0,26052,0,145,68.9,2
2,2017,17100,0,31528,0,145,64.2,2
10,2017,21750,0,25776,0,200,47.9,3
0,2016,13400,1,18055,1,125,52.3,1.5
2,2014,9900,0,63223,0,20,68.9,2
0,2016,13700,1,8719,1,125,52.3,1.5
3,2018,16900,0,27133,1,145,44.8,2
4,2018,21950,0,21947,0,150,68.9,2
8,2013,8750,1,80625,0,160,51.4,2
2,2017,17000,0,31501,3,0,134.5,2
0,2016,13750,0,8707,1,30,55.5,1.5
0,2017,12800,1,10861,1,125,53.3,1.5
3,2017,16000,1,16359,1,145,46.3,2
3,2017,16600,0,46913,0,145,65.7,2
2,2017,15100,1,37747,0,125,60.1,2
3,2017,16750,1,24882,1,145,46.3,2
0,2015,12450,1,24474,1,125,52.3,1.5
2,2018,15700,0,29394,1,145,48.7,2
4,2016,12600,1,59528,0,125,60.1,2
1,2016,14600,1,15577,1,160,44.1,2
8,2016,13700,1,52226,0,20,68.9,2
2,2017,16900,0,12330,0,30,64.2,2
3,2015,15998,2,62943,0,30,65.7,2
8,2020,31498,2,1560,0,145,60.1,2
1,2020,27998,1,1580,1,150,43.5,1.5
12,2020,54998,2,1500,0,150,37.7,3
2,2014,11998,1,11545,1,165,44.8,2
1,2020,25998,0,3160,2,140,113,1.5
0,2020,31998,2,1560,0,150,48.7,2
9,2020,29998,1,1850,0,150,49.6,2
11,2019,33998,2,7272,0,150,42.8,2
11,2019,33998,2,7272,0,150,42.8,2
0,2017,14995,1,19866,0,30,65.7,2
3,2016,17995,2,22476,1,145,48.7,2
0,2013,14498,2,42786,1,235,37.7,3
0,2015,10998,1,42410,0,30,65.7,2
4,2014,11998,2,60681,0,125,57.6,2
8,2016,14498,1,57717,0,125,58.9,2
2,2017,16998,2,8096,1,145,51.4,2
0,2015,11498,1,49151,0,30,62.8,2
13,2017,29498,2,40429,0,200,47.1,3
17,2016,31498,2,21107,1,300,34,3
0,2016,19498,2,33043,1,200,39.8,3
8,2016,17998,2,50378,0,125,57.6,2
4,2019,25998,2,11115,0,145,65.7,2
8,2013,8298,1,69020,0,125,57.6,2
7,2019,61898,2,2650,0,145,39.8,3
0,2014,13298,1,55834,1,300,35.3,3
2,2019,21898,2,5761,0,150,55.4,2
0,2017,11498,2,47110,0,0,78.5,1.5
10,2014,17495,2,54075,0,145,54.3,2
4,2015,14998,2,45152,0,30,62.8,2
1,2014,10498,1,52091,0,125,58.9,2
0,2019,19998,2,4812,1,145,47.9,2
8,2016,16698,2,37272,1,160,44.8,2
2,2019,27998,2,4250,0,145,48.7,2
4,2018,27798,2,15711,0,145,60.1,3
0,2016,18298,1,21236,1,260,36.2,3
0,2017,14698,2,24008,1,145,55.5,1.5
8,2016,18498,2,25994,0,145,55.4,2
12,2015,27998,0,24188,0,200,47.1,3
12,2015,21498,0,59216,0,200,47.9,3
0,2017,19498,1,21171,1,260,36.2,3
0,2017,14498,1,24259,1,145,52.3,1.5
4,2017,22998,2,19379,0,145,65.7,2
0,2017,14498,1,20790,0,145,70.6,1.5
4,2019,29898,2,2743,0,145,60.1,2
2,2019,22998,2,6000,1,145,48.7,2
2,2019,29998,1,3980,0,145,53.3,2
3,2019,29898,2,101,0,145,60.1,2
4,2017,20498,2,12725,0,145,68.9,2
2,2019,27650,2,18200,0,150,48.7,2
20,2016,18650,2,25300,1,205,41.5,2
3,2018,22995,0,7200,1,145,48.7,2
13,2018,36995,2,6100,0,145,47.1,3
4,2018,26995,0,6800,0,145,68.9,2
0,2013,11995,1,31600,0,125,57.6,2
4,2018,25995,2,8700,0,145,49.6,2
13,2016,29995,0,43600,0,200,44.8,3
2,2018,21495,2,16452,1,150,48.7,2
4,2017,22998,0,15838,0,145,60.1,2
4,2019,34498,0,6775,0,145,51.4,3
0,2019,18498,2,11234,0,145,68.9,2
6,2019,45898,2,5893,0,145,44.1,3
10,2019,37898,2,9781,0,145,48.7,3
12,2016,34498,0,17303,2,0,85.6,2
0,2016,17998,1,25334,1,300,35.3,3
2,2016,18498,2,36501,0,145,53.3,3
1,2019,23998,2,2318,1,145,47.9,2
8,2017,21498,2,14418,0,145,55.4,2
8,2017,18500,2,12160,0,145,65.7,2
10,2018,31000,2,20290,0,145,48.7,3
8,2016,19500,2,13690,0,125,57.6,2
12,2017,34000,0,22158,0,205,47.1,3
12,2015,28000,0,36174,0,205,47.1,3
2,2018,22000,2,30000,0,150,53.3,3
0,2016,16000,1,40125,1,305,35.3,3
2,2017,18000,1,20087,1,165,44.8,2
14,2020,78000,2,5000,0,150,31.4,3
2,2018,22500,2,11150,1,145,48.7,2
0,2018,15500,1,5827,1,145,37.7,1.5
3,2019,29000,2,14000,0,145,50.4,3
3,2019,24700,2,5196,0,145,65.7,2
1,2019,24000,2,2500,1,145,39.2,1.5
0,2018,16000,1,7000,0,145,50.4,1.5
10,2019,56000,2,26,1,145,24.8,3
0,2019,32000,2,4493,1,145,34.5,2
8,2018,20000,2,10545,0,145,60.1,2
8,2017,22000,2,16500,1,145,44.8,2
2,2016,16998,2,43695,2,0,134.5,2
10,2015,17498,2,48867,0,145,54.3,2
0,2017,15798,2,23157,1,145,54.3,1.5
8,2016,18998,2,30434,0,125,57.6,2
2,2015,20000,2,39700,0,160,50.4,3
4,2019,28000,2,5739,0,145,62.8,2
12,2017,41500,0,18000,0,145,42.8,3
0,2018,16000,2,24275,0,145,68.9,1.5
3,2017,20800,2,14774,0,125,58.9,2
2,2018,20500,2,12133,1,145,48.7,2
0,2017,15500,1,15645,1,125,52.3,1.5
11,2016,25000,2,25085,0,200,47.9,3
0,2017,21500,2,19486,1,145,39.8,3
9,2019,30000,2,5431,0,145,48.7,2
6,2020,53000,2,6555,0,145,42.2,3
2,2014,14000,2,73923,0,160,52.3,3
0,2018,25990,2,6500,1,150,32.5,3
11,2018,32000,2,10920,0,150,42.8,2
2,2019,24300,2,8000,1,150,44.8,2
4,2019,33000,2,12250,0,150,53.3,3
10,2016,20500,2,37000,0,145,54.3,2
2,2016,19000,2,40500,0,145,53.3,3
2,2017,18000,2,33000,0,145,60.1,2
17,2020,51000,2,2000,1,145,32.5,3
10,2015,16500,2,48000,0,145,54.3,2
3,2017,19800,1,17410,1,150,40.9,2
0,2017,13500,1,25975,1,145,53.3,1.5
0,2019,18500,2,12054,1,150,54.3,1.5
0,2014,9300,1,51203,0,30,65.7,2
12,2019,50000,2,5145,0,150,37.7,3
0,2017,11800,1,23274,0,20,72.4,1.5
3,2018,22000,2,10948,0,145,60.1,2
1,2019,27500,2,7000,1,145,38.2,3
4,2019,28000,2,16000,0,145,60.1,3
1,2020,29000,1,5550,1,145,43.5,1.5
2,2014,16800,2,50687,0,160,52.3,3
2,2013,15500,2,46500,0,150,55.4,3
8,2016,19300,2,25300,0,125,60.1,2
0,2017,16998,2,12458,0,30,62.8,2
0,2017,21498,2,21200,1,200,39.8,3
3,2016,18998,2,20151,0,145,53.3,3
8,2017,18498,1,13278,0,125,58.9,2
4,2019,27000,2,9000,1,145,48.7,2
1,2018,18000,2,13174,0,145,49.6,2
6,2016,26000,2,39085,0,145,54.3,3
2,2017,25500,2,14834,0,145,51.4,3
2,2016,18000,2,15088,0,145,55.4,3
0,2017,16800,2,16761,0,145,67.3,2
2,2018,21300,2,18564,0,145,60.1,2
9,2019,29000,2,1418,1,145,36.2,2
2,2019,34000,2,5525,0,145,50.4,2
2,2017,24000,2,15338,0,145,49.6,3
2,2013,14990,2,35500,0,145,55.4,2
4,2017,30000,2,11086,0,145,53.3,3
0,2018,15800,2,11132,1,145,55.5,1.5
0,2018,16500,2,7656,1,145,37.2,1.5
10,2015,19500,2,41567,0,145,54.3,2
4,2019,40000,2,1034,1,145,39.2,3
0,2017,21800,2,20294,1,200,39.8,3
2,2017,20998,2,30422,0,145,51.4,3
2,2017,19698,2,20313,0,145,56.5,3
2,2016,21498,2,28775,0,160,51.4,3
2,2015,17200,2,6147,1,145,47.9,2
12,2013,24000,0,45150,0,200,45.6,3
0,2019,26000,1,2073,0,145,57.7,1.5
3,2020,27000,2,25,1,145,48.7,2
3,2020,27500,2,25,0,145,60.1,2
12,2019,52000,2,6500,0,145,37.7,3
3,2019,32000,2,4025,0,145,50.4,3
1,2015,10498,1,27221,0,0,74.3,1.5
2,2013,9985,1,75561,0,20,68.9,2
11,2015,19485,1,53755,0,160,52.3,2
2,2013,9965,2,95043,0,30,62.8,2
8,2014,10985,2,56952,0,160,52.3,2
0,2017,13489,2,59066,0,20,72.4,1.5
2,2016,13994,2,46889,0,30,67.3,2
4,2019,35950,2,5137,0,145,51.4,3
3,2019,25490,2,8794,0,145,60.1,2
4,2019,34900,2,9854,0,145,53.3,3
6,2018,42000,2,7123,0,145,52.3,3
0,2014,12000,1,41500,0,125,57.6,2
0,2016,14000,1,24678,0,30,65.7,2
17,2019,48000,2,2258,1,145,34,3
1,2019,23950,2,4413,0,145,46.3,2
3,2019,26550,2,7292,0,145,58.9,2
8,2016,18000,2,46354,0,125,57.6,2
5,2018,27990,2,21525,0,150,49.6,3
0,2017,13450,1,15663,1,150,53.3,1.5
12,2017,34990,0,18000,0,200,47.1,3
3,2020,29500,2,17,0,145,60.1,2
4,2019,28500,2,3816,0,145,62.8,2
4,2019,26000,2,4405,1,145,48.7,2
9,2019,27000,1,4825,0,145,49.6,2
3,2019,27000,2,4406,0,145,60.1,2
2,2019,33000,2,11564,0,145,49.6,2
9,2019,32000,2,10,1,145,34,2
4,2016,14495,2,51700,0,30,65.7,2
2,2013,9498,2,55701,1,145,47.9,1.6
0,2018,23498,2,11131,1,145,39.8,3
2,2020,51000,2,5000,0,150,43.5,3
10,2016,22000,2,25000,0,150,54.3,2
0,2017,23000,2,18100,1,150,39.8,3
13,2018,39990,2,7427,0,145,40.9,3
2,2017,17000,2,43362,0,145,56.5,3
0,2017,11990,1,18435,1,125,53.3,1.5
0,2019,16500,2,5000,0,145,72.4,1.5
11,2018,40000,2,4135,0,145,37.2,3
0,2019,27000,2,1214,0,145,51.4,2
18,2019,72000,2,3545,1,145,24.1,4.4
2,2017,19650,2,43267,0,145,62.8,2
12,2020,60990,2,3500,0,145,33.6,3
3,2019,22500,2,5623,0,145,65.7,2
17,2018,43500,2,2577,1,150,34,3
1,2015,18700,2,43617,1,265,37.2,3
12,2015,26000,0,52936,0,205,47.1,3
6,2017,34000,2,25000,0,150,53.3,3
2,2014,15000,2,56000,0,150,55.4,2
2,2017,18300,2,20000,0,150,62.8,2
3,2015,15990,2,87597,0,160,51.4,3
2,2013,9995,1,74449,1,200,41.5,2
9,2019,23498,2,3241,1,150,40.4,2
2,2019,34450,2,3500,0,145,45.6,3
14,2019,67400,2,5600,0,150,33.6,3
6,2019,47990,2,7780,1,145,34.5,3
10,2020,35900,2,4500,0,150,54.3,2
3,2016,18498,2,24188,0,145,55.4,3
8,2017,18998,2,26939,0,145,65.7,2
8,2018,16995,2,17276,1,150,46.3,1.5
2,2017,20998,2,26252,0,145,51.4,3
2,2017,15998,2,19675,1,125,51.4,2
0,2019,29000,2,100,0,150,48.7,2
12,2019,51000,2,6000,0,150,37.7,3
12,2017,29945,0,30207,0,200,47.1,3
4,2018,24595,2,28502,0,145,65.7,2
4,2014,13990,2,73837,0,160,51.4,3
2,2017,14990,2,48604,0,30,67.3,2
4,2017,22990,2,33492,0,145,60.1,2
4,2013,10495,2,83380,0,125,57.6,2
3,2018,22595,2,18937,1,145,48.7,2
2,2019,27995,2,2460,0,145,53.3,2
8,2016,17298,2,48697,0,125,57.6,2
8,2018,16995,2,17276,1,150,46.3,1.5
8,2017,17995,1,23692,0,125,58.9,2
4,2017,21998,2,25260,0,145,60.1,2
8,2017,16698,2,25291,0,30,65.7,2
0,2015,12298,2,37634,0,30,64.2,2
0,2017,13798,1,34446,0,145,65.7,2
0,2018,14000,1,19995,1,145,37.7,1.5
3,2018,24000,1,24848,1,145,36.7,3
17,2020,50000,2,700,1,145,34,3
3,2018,21500,2,4038,1,150,45.6,2
2,2016,22000,2,31250,0,165,51.4,3
4,2015,16000,2,64194,0,165,51.4,3
2,2015,18500,2,38218,0,165,51.4,3
2,2019,28000,0,6148,0,145,52.3,2
2,2018,27000,0,13430,0,145,49.6,3
10,2015,17000,2,35500,0,200,47.9,3
10,2014,14495,2,56787,0,150,54.3,2
0,2016,16200,2,13369,0,20,68.9,1.5
1,2018,19000,2,3764,1,145,53.3,1.5
3,2017,17495,1,13471,1,145,46.3,2
23,2016,48998,0,10087,2,0,134.5,1.5
11,2018,36000,2,5000,0,145,40.4,3
17,2020,43000,2,40,1,145,34,3
2,2020,40000,2,2000,0,145,47.9,3
6,2019,49000,2,7970,0,145,44.8,3
15,2016,31000,2,14712,1,260,35.8,3
14,2019,67000,2,4900,0,145,33.6,3
4,2018,30500,2,9671,1,145,39.2,3
1,2019,21500,2,2070,1,145,40.9,1.5
2,2016,19500,2,49104,0,160,51.4,3
0,2016,19000,2,42792,1,200,39.8,3
1,2019,30000,2,5555,1,145,38.2,3
4,2019,42500,2,3555,0,145,51.4,3
2,2016,22500,2,16890,0,160,51.4,3
1,2020,36000,2,5550,1,145,36.2,2
2,2018,25000,2,23555,0,145,49.6,3
1,2018,14998,1,2683,1,145,44.1,1.5
8,2017,16998,2,46622,0,125,57.6,2
2,2016,13298,2,46392,0,0,74.3,2
2,2013,12298,2,73845,0,145,54.3,3
4,2018,23998,2,14052,0,145,62.8,2
2,2019,26498,2,21165,0,145,48.7,2
3,2019,21998,2,19856,0,145,65.7,2
2,2019,23298,2,11974,0,145,54.3,2
0,2015,13500,1,31652,0,30,62.8,2
1,2018,17500,0,6079,0,145,51.4,2
0,2019,16600,1,7000,0,145,68.9,2
1,2016,16450,2,10250,0,30,62.8,2
12,2019,49000,2,4860,0,145,37.7,3
8,2019,25500,0,2984,0,145,60.1,2
2,2016,14000,1,30679,0,125,62.8,2
5,2017,27500,2,21083,0,145,51.4,3
0,2017,13500,1,16423,0,150,72.4,1.5
3,2019,25000,1,4000,0,150,55.4,2
2,2019,32000,2,15114,0,150,49.6,3
4,2017,30000,2,9750,0,150,56.5,3
4,2017,21900,2,38649,0,145,65.7,2
2,2019,34900,2,4600,0,145,49.6,2
0,2019,22700,2,14822,0,145,60.1,2
9,2018,23900,2,12887,0,145,61.4,2
3,2019,27450,2,8142,0,145,52.3,3
12,2019,46600,2,9584,0,145,37.7,3
3,2019,26800,2,7667,0,145,58.9,2
0,2015,16450,2,25499,0,125,60.1,2
8,2019,25000,1,3715,0,145,68.9,2
9,2019,27000,0,49,0,145,50.4,2
2,2019,32000,0,5557,0,145,49.6,2
1,2019,21000,2,2380,1,145,40.9,1.5
1,2019,21000,1,3078,1,145,39.8,1.5
1,2019,21000,1,1251,1,145,42.8,1.5
1,2019,23500,2,2664,1,145,50.4,2
1,2019,20500,1,1612,1,145,42.8,1.5
3,2018,20500,2,6668,0,145,65.7,2
1,2019,20500,0,6679,1,145,47.9,2
1,2019,20500,0,1689,1,145,50.4,2
4,2017,24998,2,24769,0,145,60.1,3
3,2018,20990,2,26706,0,150,58.9,2
10,2016,18990,2,12996,0,150,54.3,2
1,2019,19500,1,1501,1,145,42.8,1.5
1,2019,23500,2,2164,0,145,49.6,2
17,2020,48000,2,30,1,145,34,3
4,2019,29500,0,3388,0,145,60.1,3
1,2015,12000,1,28410,1,30,57.6,1.5
1,2019,24000,0,477,1,145,47.9,2
4,2019,30000,0,10654,0,145,60.1,2
9,2019,29000,0,2472,0,145,48.7,2
3,2019,25450,2,1000,0,150,60.1,2
9,2018,24490,2,7100,0,150,61.4,2
8,2014,12490,2,49400,0,165,51.4,2
1,2019,19750,2,9014,0,145,49.6,2
4,2017,21900,2,23291,0,145,65.7,2
8,2018,21500,2,12710,1,145,44.8,2
2,2018,27500,2,9329,0,145,51.4,3
12,2018,34756,0,20630,0,145,47.1,3
0,2017,21514,2,15907,1,150,39.8,3
8,2016,18998,2,24347,0,150,55.4,2
0,2019,22000,1,2574,1,145,44.1,1.5
0,2019,21000,1,1906,1,145,44.1,1.5
2,2019,31000,2,1397,0,145,50.4,2
12,2014,25000,0,38389,0,200,47.1,3
4,2018,23500,2,23650,0,145,53.3,3
0,2013,10500,1,48255,0,30,62.8,2
2,2013,15000,2,21940,0,125,58.9,2
11,2020,43000,2,857,0,145,40.9,3
2,2018,17998,2,19950,0,145,65.7,2
0,2016,15498,2,15621,0,30,65.7,2
0,2019,29398,2,9983,1,145,39.8,3
2,2013,10420,1,53352,1,200,43.5,2
1,2016,17998,2,28099,0,145,55.4,2
8,2016,18998,2,20874,0,150,55.4,2
0,2016,14398,2,21037,0,20,68.9,1.5
0,2017,18998,1,17888,1,260,36.2,3
4,2019,26498,2,16466,0,145,60.1,2
2,2015,12998,2,25243,0,30,62.8,2
8,2016,15998,1,45484,0,125,58.9,2
2,2019,27998,2,9624,0,150,52.3,2
0,2016,14998,1,23879,0,30,62.8,2
8,2017,19998,2,17922,0,145,55.4,2
0,2015,13998,2,38279,0,125,60.1,2
2,2015,11998,1,40325,1,125,52.3,1.5
4,2017,21498,2,34296,0,145,65.7,2
2,2017,19698,2,44075,0,145,51.4,3
2,2017,21498,2,13102,0,145,51.4,3
2,2016,11998,1,49669,0,30,67.3,2
2,2017,20498,2,7926,0,145,56.5,3
2,2017,18298,2,33384,2,0,134.5,2
2,2016,13998,2,38417,0,30,67.3,2
0,2019,19298,2,10040,0,145,67.3,2
2,2019,26498,2,13579,0,145,48.7,2
2,2013,10998,2,74712,1,205,42.8,2
2,2013,10998,1,72315,0,30,61.4,2
2,2013,10998,1,44602,0,30,61.4,2
12,2013,16498,0,56003,0,300,38.2,3
4,2015,13498,2,88333,0,30,62.8,2
0,2019,21998,2,4061,1,145,54.3,1.5
1,2017,17998,2,27997,0,145,57.6,2
0,2013,7998,1,74772,0,30,65.7,2
12,2019,45995,2,16644,0,150,37.7,3
8,2016,19498,2,19850,0,145,55.4,2
3,2018,21498,2,8441,1,150,48.7,2
0,2013,8298,1,60741,0,30,65.7,2
2,2019,23498,2,10629,0,145,57.7,2
2,2016,13798,2,46673,0,0,74.3,2
0,2014,16998,2,30954,1,235,37.7,3
0,2015,12498,2,14501,0,0,78.5,1.5
0,2018,17498,1,10374,0,145,49.6,2
0,2016,14498,1,24382,0,20,70.6,1.5
2,2017,18998,2,28332,2,0,134.5,2
2,2019,20498,2,6160,1,150,44.8,2
2,2019,23298,2,11326,0,145,54.3,2
2,2017,21998,2,21784,0,145,56.5,3
0,2013,6998,1,73603,0,30,62.8,2
2,2016,11298,1,64308,0,20,68.9,2
8,2016,19498,2,20153,0,145,55.4,2
2,2017,19498,2,56785,0,145,51.4,3
4,2014,18750,2,34219,0,200,47.9,3
10,2014,15795,2,63000,0,145,54.3,2
2,2015,13995,2,46316,1,160,46.3,2
8,2017,17998,2,33534,0,150,55.4,2
2,2016,16295,1,16604,0,30,64.2,2
2,2017,17695,2,24909,0,145,62.8,2
0,2018,16998,1,19154,0,150,49.6,2
1,2020,30000,2,914,1,145,42.2,1.5
7,2020,63000,2,3000,0,145,40.4,3
10,2013,14000,2,47111,0,160,50.4,2
10,2016,21000,2,24002,0,145,54.3,2
0,2020,22000,1,2000,1,145,44.1,1.5
0,2014,15000,2,38689,1,235,37.7,3
11,2020,45500,2,1608,1,145,26.9,3
2,2015,16998,2,31915,0,145,53.3,3
3,2017,19498,2,28912,0,145,65.7,2
4,2017,20998,2,21068,0,145,62.8,2
2,2017,17998,2,34118,0,150,60.1,2
2,2016,17498,2,27146,0,150,56.5,3
3,2017,17410,0,37842,0,145,65.7,2
1,2016,18498,2,18245,0,145,55.4,2
2,2018,22998,2,16360,0,145,57.7,2
2,2019,26698,2,8273,0,145,48.7,2
3,2016,14998,1,24711,1,160,46.3,2
2,2016,14995,1,43400,0,125,58.9,2
2,2019,23498,2,7516,0,145,54.3,2
3,2019,21998,2,17740,0,145,65.7,2
2,2019,27298,2,8319,0,145,48.7,2
2,2019,26498,2,18526,0,145,48.7,2
12,2016,24998,0,83269,0,200,47.1,3
0,2019,14698,1,14847,0,150,72.4,1.5
8,2017,17998,0,33358,0,125,60.1,2
0,2018,17498,2,17063,1,145,36.7,2
0,2013,8998,1,34750,0,30,65.7,2
12,2014,27995,0,43946,0,265,42.2,3
8,2016,19998,2,21621,0,145,55.4,2
4,2018,27498,2,13197,2,140,156.9,2
2,2015,12498,2,87795,0,125,60.1,2
0,2016,13998,2,50525,0,30,65.7,2
0,2016,13498,2,42001,0,20,68.9,1.5
0,2014,11998,1,20990,0,30,64.2,2
0,2014,10998,0,56379,1,145,48.7,1.6
2,2015,12498,1,50730,0,20,68.9,2
8,2016,17698,1,29018,0,125,58.9,2
2,2013,9998,2,46121,0,30,62.8,2
3,2017,19498,2,16463,0,145,65.7,2
2,2016,17498,2,39239,2,0,134.5,2
4,2018,24498,2,15032,0,145,68.9,2
8,2016,18498,2,28813,0,145,55.4,2
2,2019,22998,2,6394,0,150,54.3,2
12,2019,58898,2,100,0,150,37.7,3
